date,team1,conference1,team2,conference2,conference_match,sets_1,sets_2,final_score,sets_played,team1_set1,team2_set1,set1_winner,match_winner,comeback_win
2019-08-30,Northeastern,CAA,Green Bay,Horizon,Non-Conference,1,3,3-1,4,16,25,Green Bay,Green Bay,FALSE
2019-08-30,South Carolina St.,MEAC,Texas Southern,SWAC,Non-Conference,2,3,3-2,5,25,21,South Carolina St.,Texas Southern,TRUE
2019-08-30,UNLV,Mountain West,Weber St.,Big Sky,Non-Conference,1,3,3-1,4,22,25,Weber St.,Weber St.,FALSE
2019-08-30,SIUE,OVC,UC Riverside,Big West,Non-Conference,0,3,3-0,3,17,25,UC Riverside,UC Riverside,FALSE
2019-08-30,Temple,AAC,Fairfield,MAAC,Non-Conference,3,0,3-0,3,25,20,Temple,Temple,FALSE
2019-08-30,Washington St.,Pac-12,James Madison,CAA,Non-Conference,3,0,3-0,3,25,20,Washington St.,Washington St.,FALSE
2019-08-30,Niagara,MAAC,Stetson,ASUN,Non-Conference,0,3,3-0,3,17,25,Stetson,Stetson,FALSE
2019-08-30,Howard,MEAC,Hartford,America East,Non-Conference,3,0,3-0,3,25,23,Howard,Howard,FALSE
2019-08-30,South Carolina,SEC,Cincinnati,AAC,Non-Conference,1,3,3-1,4,21,25,Cincinnati,Cincinnati,FALSE
2019-08-30,William & Mary,CAA,Quinnipiac,MAAC,Non-Conference,3,2,3-2,5,25,15,William & Mary,William & Mary,FALSE
2019-08-30,Loyola Maryland,Patriot,Furman,SoCon,Non-Conference,3,2,3-2,5,22,25,Furman,Loyola Maryland,TRUE
2019-08-30,Gardner-Webb,Big South,Charlotte,C-USA,Non-Conference,0,3,3-0,3,8,25,Charlotte,Charlotte,FALSE
2019-08-30,Marist,MAAC,Alabama,SEC,Non-Conference,0,3,3-0,3,20,25,Alabama,Alabama,FALSE
2019-08-30,UT Martin,OVC,Marshall,C-USA,Non-Conference,0,3,3-0,3,19,25,Marshall,Marshall,FALSE
2019-08-30,UAB,C-USA,Ball St.,MAC,Non-Conference,0,3,3-0,3,29,31,Ball St.,Ball St.,FALSE
2019-08-30,Milwaukee,Horizon,Arkansas St.,Sun Belt,Non-Conference,3,2,3-2,5,25,15,Milwaukee,Milwaukee,FALSE
2019-08-30,Texas Tech,Big 12,VCU,Atlantic 10,Non-Conference,3,0,3-0,3,25,17,Texas Tech,Texas Tech,FALSE
2019-08-30,Illinois St.,MVC,North Texas,C-USA,Non-Conference,3,1,3-1,4,16,25,North Texas,Illinois St.,TRUE
2019-08-30,Akron,MAC,San Diego St.,Mountain West,Non-Conference,0,3,3-0,3,20,25,San Diego St.,San Diego St.,FALSE
2019-08-30,Oakland,Horizon,Michigan,Big Ten,Non-Conference,0,3,3-0,3,18,25,Michigan,Michigan,FALSE
2019-08-30,Western Mich.,MAC,South Alabama,Sun Belt,Non-Conference,3,0,3-0,3,25,11,Western Mich.,Western Mich.,FALSE
2019-08-30,Central Ark.,Southland,Rider,MAAC,Non-Conference,3,2,3-2,5,15,25,Rider,Central Ark.,TRUE
2019-08-30,Idaho St.,Big Sky,Albany (NY),America East,Non-Conference,3,1,3-1,4,25,22,Idaho St.,Idaho St.,FALSE
2019-08-30,DePaul,Big East,Jacksonville,ASUN,Non-Conference,3,1,3-1,4,25,15,DePaul,DePaul,FALSE
2019-08-30,UT Arlington,Sun Belt,A&M-Corpus Christi,Southland,Non-Conference,3,2,3-2,5,7,25,A&M-Corpus Christi,UT Arlington,TRUE
2019-08-30,UTRGV,WAC,Radford,Big South,Non-Conference,0,3,3-0,3,23,25,Radford,Radford,FALSE
2019-08-30,Lipscomb,ASUN,High Point,Big South,Non-Conference,0,3,3-0,3,21,25,High Point,High Point,FALSE
2019-08-30,UTSA,C-USA,SFA,Southland,Non-Conference,1,3,3-1,4,20,25,SFA,SFA,FALSE
