league,season,date,team1,team2,team1_sets,team2_sets,final_score,sets_played,match_winner,set1_winner,set1_loser,comeback_win
VNL Women,2024,2024/5/14,Bulgaria,Netherlands,0,3,0-3,3,Netherlands,Netherlands,Bulgaria,FALSE
VNL Women,2024,2024/5/14,Italy,Poland,0,3,0-3,3,Poland,Poland,Italy,FALSE
VNL Women,2024,2024/5/14,China,Korea,3,0,3-0,3,China,China,Korea,FALSE
VNL Women,2024,2024/5/15,Brazil,Canada,3,1,3-1,4,Brazil,Brazil,Canada,FALSE
VNL Women,2024,2024/5/15,France,Germany,0,3,0-3,3,Germany,Germany,France,FALSE
VNL Women,2024,2024/5/15,Japan,Türkiye,3,2,3-2,5,Japan,Japan,Türkiye,FALSE
VNL Women,2024,2024/5/15,Thailand,USA,1,3,1-3,4,USA,USA,Thailand,FALSE
VNL Women,2024,2024/5/16,Dominican Republic,Serbia,3,1,3-1,4,Dominican Republic,Dominican Republic,Serbia,FALSE
VNL Women,2024,2024/5/16,Germany,Italy,1,3,1-3,4,Italy,Italy,Germany,FALSE
VNL Women,2024,2024/5/16,Bulgaria,Japan,0,3,0-3,3,Japan,Japan,Bulgaria,FALSE
VNL Women,2024,2024/5/16,Netherlands,Türkiye,1,3,1-3,4,Türkiye,Türkiye,Netherlands,FALSE
VNL Women,2024,2024/5/16,Brazil,Korea,3,0,3-0,3,Brazil,Brazil,Korea,FALSE
VNL Women,2024,2024/5/16,China,USA,3,1,3-1,4,China,USA,China,TRUE
VNL Women,2024,2024/5/17,Canada,Dominican Republic,3,0,3-0,3,Canada,Canada,Dominican Republic,FALSE
VNL Women,2024,2024/5/17,Germany,Japan,0,3,0-3,3,Japan,Japan,Germany,FALSE
VNL Women,2024,2024/5/17,France,Poland,0,3,0-3,3,Poland,Poland,France,FALSE
VNL Women,2024,2024/5/17,Bulgaria,Italy,0,3,0-3,3,Italy,Italy,Bulgaria,FALSE
VNL Women,2024,2024/5/17,Serbia,Thailand,3,0,3-0,3,Serbia,Serbia,Thailand,FALSE
VNL Women,2024,2024/5/17,Canada,China,3,1,3-1,4,Canada,Canada,China,FALSE
VNL Women,2024,2024/5/18,Brazil,USA,3,1,3-1,4,Brazil,Brazil,USA,FALSE
VNL Women,2024,2024/5/18,Netherlands,Poland,0,3,0-3,3,Poland,Poland,Netherlands,FALSE
VNL Women,2024,2024/5/18,Bulgaria,France,1,3,1-3,4,France,Bulgaria,France,TRUE
VNL Women,2024,2024/5/18,Italy,Türkiye,3,1,3-1,4,Italy,Türkiye,Italy,TRUE
VNL Women,2024,2024/5/18,China,Serbia,3,1,3-1,4,China,Serbia,China,TRUE
VNL Women,2024,2024/5/18,Dominican Republic,Korea,3,0,3-0,3,Dominican Republic,Dominican Republic,Korea,FALSE
VNL Women,2024,2024/5/19,Canada,Thailand,3,1,3-1,4,Canada,Canada,Thailand,FALSE
VNL Women,2024,2024/5/19,Germany,Netherlands,1,3,1-3,4,Netherlands,Netherlands,Germany,FALSE
VNL Women,2024,2024/5/19,Brazil,Serbia,3,0,3-0,3,Brazil,Brazil,Serbia,FALSE
VNL Women,2024,2024/5/19,Japan,Poland,0,3,0-3,3,Poland,Poland,Japan,FALSE
VNL Women,2024,2024/5/19,France,Türkiye,0,3,0-3,3,Türkiye,Türkiye,France,FALSE
VNL Women,2024,2024/5/19,Dominican Republic,USA,0,3,0-3,3,USA,USA,Dominican Republic,FALSE
VNL Women,2024,2024/5/19,Korea,Thailand,3,1,3-1,4,Korea,Korea,Thailand,FALSE
VNL Women,2024,2024/5/28,Dominican Republic,Thailand,1,3,1-3,4,Thailand,Thailand,Dominican Republic,FALSE
VNL Women,2024,2024/5/28,Brazil,Japan,3,2,3-2,5,Brazil,Japan,Brazil,TRUE
VNL Women,2024,2024/5/28,Poland,Serbia,3,1,3-1,4,Poland,Poland,Serbia,FALSE
VNL Women,2024,2024/5/29,Canada,USA,1,3,1-3,4,USA,USA,Canada,FALSE
VNL Women,2024,2024/5/29,France,Italy,0,3,0-3,3,Italy,Italy,France,FALSE
VNL Women,2024,2024/5/29,China,Netherlands,3,1,3-1,4,China,Netherlands,China,TRUE
VNL Women,2024,2024/5/29,Bulgaria,Korea,3,2,3-2,5,Bulgaria,Bulgaria,Korea,FALSE
VNL Women,2024,2024/5/29,Germany,Türkiye,1,3,1-3,4,Türkiye,Germany,Türkiye,TRUE
VNL Women,2024,2024/5/30,Dominican Republic,Italy,0,3,0-3,3,Italy,Italy,Dominican Republic,FALSE
VNL Women,2024,2024/5/30,France,Japan,0,3,0-3,3,Japan,Japan,France,FALSE
VNL Women,2024,2024/5/30,Brazil,Netherlands,3,1,3-1,4,Brazil,Brazil,Netherlands,FALSE
VNL Women,2024,2024/5/30,Korea,Poland,0,3,0-3,3,Poland,Poland,Korea,FALSE
VNL Women,2024,2024/5/30,Canada,Germany,3,0,3-0,3,Canada,Canada,Germany,FALSE
VNL Women,2024,2024/5/31,Serbia,Türkiye,1,3,1-3,4,Türkiye,Türkiye,Serbia,FALSE
VNL Women,2024,2024/5/31,France,Thailand,2,3,2-3,5,Thailand,Thailand,France,FALSE
VNL Women,2024,2024/5/31,Dominican Republic,Netherlands,1,3,1-3,4,Netherlands,Netherlands,Dominican Republic,FALSE
VNL Women,2024,2024/5/31,China,Japan,1,3,1-3,4,Japan,Japan,China,FALSE
VNL Women,2024,2024/5/31,Germany,Poland,0,3,0-3,3,Poland,Poland,Germany,FALSE
VNL Women,2024,2024/5/31,Canada,Serbia,1,3,1-3,4,Serbia,Serbia,Canada,FALSE
VNL Women,2024,2024/6/1,Bulgaria,USA,0,3,0-3,3,USA,USA,Bulgaria,FALSE
VNL Women,2024,2024/6/1,Brazil,Italy,3,2,3-2,5,Brazil,Brazil,Italy,FALSE
VNL Women,2024,2024/6/1,Dominican Republic,Japan,1,3,1-3,4,Japan,Japan,Dominican Republic,FALSE
VNL Women,2024,2024/6/1,China,Thailand,3,0,3-0,3,China,China,Thailand,FALSE
VNL Women,2024,2024/6/1,Korea,Türkiye,0,3,0-3,3,Türkiye,Türkiye,Korea,FALSE
VNL Women,2024,2024/6/1,Poland,USA,3,1,3-1,4,Poland,Poland,USA,FALSE
VNL Women,2024,2024/6/2,Bulgaria,Serbia,1,3,1-3,4,Serbia,Bulgaria,Serbia,TRUE
VNL Women,2024,2024/6/2,France,Netherlands,0,3,0-3,3,Netherlands,Netherlands,France,FALSE
VNL Women,2024,2024/6/2,Brazil,Thailand,3,0,3-0,3,Brazil,Brazil,Thailand,FALSE
VNL Women,2024,2024/6/2,China,Italy,0,3,0-3,3,Italy,Italy,China,FALSE
VNL Women,2024,2024/6/2,Canada,Korea,3,0,3-0,3,Canada,Canada,Korea,FALSE
VNL Women,2024,2024/6/2,Türkiye,USA,3,2,3-2,5,Türkiye,USA,Türkiye,TRUE
VNL Women,2024,2024/6/2,Bulgaria,Germany,1,3,1-3,4,Germany,Germany,Bulgaria,FALSE
VNL Women,2024,2024/6/11,France,USA,0,3,0-3,3,USA,USA,France,FALSE
VNL Women,2024,2024/6/11,Canada,Italy,0,3,0-3,3,Italy,Italy,Canada,FALSE
VNL Women,2024,2024/6/11,Dominican Republic,Germany,3,1,3-1,4,Dominican Republic,Dominican Republic,Germany,FALSE
VNL Women,2024,2024/6/11,Bulgaria,China,0,3,0-3,3,China,China,Bulgaria,FALSE
VNL Women,2024,2024/6/12,Netherlands,Serbia,3,1,3-1,4,Netherlands,Netherlands,Serbia,FALSE
VNL Women,2024,2024/6/12,Japan,Korea,3,0,3-0,3,Japan,Japan,Korea,FALSE
VNL Women,2024,2024/6/12,Thailand,Türkiye,0,3,0-3,3,Türkiye,Türkiye,Thailand,FALSE
VNL Women,2024,2024/6/12,Brazil,Poland,3,1,3-1,4,Brazil,Poland,Brazil,TRUE
VNL Women,2024,2024/6/13,Netherlands,USA,0,3,0-3,3,USA,USA,Netherlands,FALSE
VNL Women,2024,2024/6/13,France,Korea,2,3,2-3,5,Korea,Korea,France,FALSE
VNL Women,2024,2024/6/13,Canada,Japan,3,2,3-2,5,Canada,Japan,Canada,TRUE
VNL Women,2024,2024/6/13,Bulgaria,Thailand,2,3,2-3,5,Thailand,Thailand,Bulgaria,FALSE
VNL Women,2024,2024/6/13,Brazil,Germany,3,1,3-1,4,Brazil,Brazil,Germany,FALSE
VNL Women,2024,2024/6/13,Dominican Republic,Türkiye,1,3,1-3,4,Türkiye,Dominican Republic,Türkiye,TRUE
VNL Women,2024,2024/6/14,France,Serbia,3,1,3-1,4,France,France,Serbia,FALSE
VNL Women,2024,2024/6/14,Canada,Netherlands,0,3,0-3,3,Netherlands,Netherlands,Canada,FALSE
VNL Women,2024,2024/6/14,Italy,Korea,3,0,3-0,3,Italy,Italy,Korea,FALSE
VNL Women,2024,2024/6/14,Brazil,Bulgaria,3,0,3-0,3,Brazil,Brazil,Bulgaria,FALSE
VNL Women,2024,2024/6/14,Dominican Republic,Poland,0,3,0-3,3,Poland,Poland,Dominican Republic,FALSE
